Date,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,Close,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
30-Dec-2025,EQ,"185.93","186.70","178.55","185.93","181.25","180.75","181.23","199.75","122.50",2803365,"50,80,65,775.94",34453
29-Dec-2025,EQ,"183.30","187.80","182.89","183.02","185.95","185.93","185.15","199.75","122.50",1152162,"21,33,18,314.81",20164
26-Dec-2025,EQ,"191.97","191.97","181.82","192.01","183.30","183.02","185.22","199.75","122.50",2068117,"38,30,53,804.54",28188
24-Dec-2025,EQ,"193.40","193.75","191.00","192.77","191.51","192.01","192.19","199.75","122.50",567382,"10,90,44,626.77",9787
23-Dec-2025,EQ,"194.10","197.67","190.91","193.59","192.60","192.77","194.02","199.75","122.50",1455674,"28,24,35,784.08",21387
22-Dec-2025,EQ,"193.85","195.00","192.35","193.61","193.34","193.59","193.39","199.75","122.50",902639,"17,45,60,983.99",12743
19-Dec-2025,EQ,"191.48","199.75","191.00","191.27","193.10","193.61","195.83","199.75","122.50",3319849,"65,01,21,540.71",51637
18-Dec-2025,EQ,"190.20","192.99","189.22","190.88","190.40","191.27","191.34","195.25","122.50",1128494,"21,59,25,533.57",18291
17-Dec-2025,EQ,"191.10","193.82","188.21","191.94","190.00","190.88","191.04","195.25","122.50",1163848,"22,23,36,538.90",21320
16-Dec-2025,EQ,"192.00","195.25","190.50","191.21","191.00","191.94","192.88","195.25","122.50",2100842,"40,52,19,767.75",26812
15-Dec-2025,EQ,"188.00","193.00","186.75","188.30","191.58","191.21","191.00","194.39","122.50",2472041,"47,21,71,077.62",26499
12-Dec-2025,EQ,"190.00","190.96","187.15","189.28","187.99","188.30","189.02","197.68","122.50",1135177,"21,45,66,023.61",13976
11-Dec-2025,EQ,"185.01","190.00","185.01","186.53","189.85","189.28","187.93","197.68","122.50",1333895,"25,06,82,760.71",16773
10-Dec-2025,EQ,"190.00","190.97","185.00","188.89","186.00","186.53","187.96","197.68","122.50",1475424,"27,73,27,646.91",19918
09-Dec-2025,EQ,"182.40","190.47","178.30","182.14","189.20","188.89","185.98","197.68","122.50",3788262,"70,45,24,128.46",45081
08-Dec-2025,EQ,"182.79","182.99","179.47","182.29","182.40","182.14","181.27","197.68","122.50",2107443,"38,20,18,629.06",29339
05-Dec-2025,EQ,"185.10","185.71","178.31","185.88","181.82","182.29","181.68","203.00","122.50",2347566,"42,64,94,959.28",29071
04-Dec-2025,EQ,"184.39","187.94","182.37","184.39","184.90","185.88","186.34","203.00","122.50",2657597,"49,52,29,600.79",27398
03-Dec-2025,EQ,"182.72","187.88","181.60","181.86","184.21","184.39","184.97","203.00","122.50",5112571,"94,56,66,884.06",56280
02-Dec-2025,EQ,"180.70","183.20","179.85","180.32","182.00","181.86","182.28","203.00","122.50",2107294,"38,41,20,783.73",26370
01-Dec-2025,EQ,"178.98","184.50","178.98","178.72","180.01","180.32","181.14","203.00","122.50",3755988,"68,03,58,896.84",38751
28-Nov-2025,EQ,"174.94","179.51","174.70","174.94","178.50","178.72","178.16","203.00","122.50",1652143,"29,43,50,780.82",29760
27-Nov-2025,EQ,"181.00","181.90","174.00","180.15","174.85","174.94","176.53","203.00","122.50",1781404,"31,44,72,592.93",19765
26-Nov-2025,EQ,"179.00","181.90","178.17","178.84","180.28","180.15","180.50","203.00","122.50",1521164,"27,45,64,156.17",21287
25-Nov-2025,EQ,"180.18","180.70","177.01","179.88","178.84","178.84","179.18","203.00","122.50",1318832,"23,63,06,108.84",22178
24-Nov-2025,EQ,"179.00","182.99","177.20","177.95","179.85","179.88","180.74","203.00","122.50",4686173,"84,69,76,997.15",44924
21-Nov-2025,EQ,"181.00","181.00","176.50","177.31","177.80","177.95","178.93","203.00","122.50",4049138,"72,45,05,067.91",41791
20-Nov-2025,EQ,"175.25","180.75","174.46","173.86","177.11","177.31","177.79","203.00","122.50",7193793,"1,27,90,15,807.77",47009
19-Nov-2025,EQ,"175.90","176.85","173.50","174.94","173.55","173.86","175.00","203.00","122.50",1371278,"23,99,68,394.64",19943
18-Nov-2025,EQ,"175.61","176.80","173.10","175.62","175.00","174.94","175.20","203.00","122.50",1560183,"27,33,44,747.37",22915
17-Nov-2025,EQ,"175.10","177.60","174.61","174.43","175.01","175.62","176.10","203.00","122.50",1152181,"20,28,95,206.06",22393
14-Nov-2025,EQ,"173.55","176.24","172.14","174.89","174.40","174.43","174.62","203.00","122.50",2486833,"43,42,56,488.26",26782
13-Nov-2025,EQ,"174.81","178.40","174.22","174.81","174.61","174.89","176.47","203.00","122.50",3690714,"65,12,96,384.80",40133
12-Nov-2025,EQ,"174.30","175.13","172.10","179.71","174.63","174.81","173.57","203.00","122.50",2718638,"47,18,74,447.65",26134
11-Nov-2025,EQ,"178.10","181.78","176.67","177.15","179.75","179.71","179.17","203.00","122.50",5102848,"91,43,01,006.35",51569
10-Nov-2025,EQ,"181.00","181.51","175.31","179.60","176.92","177.15","177.49","203.00","122.50",4144498,"73,56,12,455.22",32259
07-Nov-2025,EQ,"172.59","183.00","171.44","171.82","179.25","179.60","179.17","203.00","122.50",15453386,"2,76,87,69,922.91",110152
06-Nov-2025,EQ,"175.10","179.57","171.00","162.78","171.62","171.82","175.15","203.00","122.50",24934698,"4,36,73,67,050.33",183346
04-Nov-2025,EQ,"165.54","166.02","161.50","165.28","162.98","162.78","162.99","203.00","122.50",1381255,"22,51,36,160.49",17877
03-Nov-2025,EQ,"168.00","168.50","165.00","166.62","165.30","165.28","166.14","203.00","122.50",1321169,"21,95,02,473.82",15802
31-Oct-2025,EQ,"169.99","169.99","166.01","169.02","166.89","166.62","167.24","203.00","122.50",1421965,"23,78,08,627.38",16690
30-Oct-2025,EQ,"169.00","171.54","165.50","166.01","168.66","169.02","168.86","203.00","122.50",6571456,"1,10,96,30,772.33",56369
29-Oct-2025,EQ,"160.00","167.00","159.16","158.99","165.55","166.01","164.84","203.00","122.50",5135759,"84,65,72,072.54",46782
28-Oct-2025,EQ,"161.00","162.00","158.50","160.77","159.20","158.99","160.05","203.00","122.50",983482,"15,74,09,952.60",14282
27-Oct-2025,EQ,"161.93","161.93","159.00","160.54","161.00","160.77","160.46","203.00","122.50",1098681,"17,62,91,351.38",15499
24-Oct-2025,EQ,"160.30","163.70","159.15","160.04","160.20","160.54","161.26","215.90","122.50",1951112,"31,46,28,602.58",23788
23-Oct-2025,EQ,"161.50","162.36","159.30","161.24","160.00","160.04","160.12","215.90","122.50",908759,"14,55,06,111.16",15287
21-Oct-2025,EQ,"160.40","162.33","160.40","159.92","160.90","161.24","161.36","215.90","122.50",274200,"4,42,45,931.43",5243
20-Oct-2025,EQ,"160.25","160.70","158.45","160.00","159.85","159.92","159.50","215.90","122.50",480668,"7,66,64,297.01",8976
17-Oct-2025,EQ,"160.10","160.51","158.20","160.10","160.25","160.00","159.59","216.48","122.50",1124707,"17,94,88,012.70",16391
16-Oct-2025,EQ,"163.37","163.60","159.50","163.28","159.55","160.10","160.61","216.48","122.50",1055284,"16,94,88,077.67",16556
15-Oct-2025,EQ,"158.30","164.60","156.40","158.19","163.25","163.28","161.85","216.48","122.50",3634881,"58,82,93,772.08",33381
14-Oct-2025,EQ,"161.00","161.80","157.05","161.00","158.21","158.19","158.63","216.48","122.50",959190,"15,21,55,395.75",17423
13-Oct-2025,EQ,"161.73","162.30","160.50","161.91","161.30","161.00","161.04","216.48","122.50",1344108,"21,64,61,268.43",21287
10-Oct-2025,EQ,"159.40","164.30","159.40","159.95","161.94","161.91","162.56","220.93","122.50",1338458,"21,75,85,049.19",24515
09-Oct-2025,EQ,"161.10","161.39","159.00","161.52","160.00","159.95","159.86","220.93","122.50",1105251,"17,66,82,593.50",17132
08-Oct-2025,EQ,"164.22","164.89","161.00","162.91","161.50","161.52","162.25","220.93","122.50",1268225,"20,57,74,021.91",23622
07-Oct-2025,EQ,"163.00","163.90","161.11","163.07","162.75","162.91","162.43","220.93","122.50",1678863,"27,26,91,073.52",23877
06-Oct-2025,EQ,"160.99","164.47","159.07","159.86","163.00","163.07","162.91","220.93","122.50",2912732,"47,45,20,032.89",27863
03-Oct-2025,EQ,"159.00","162.68","158.99","158.62","160.00","159.86","160.76","221.90","122.50",2380819,"38,27,40,962.78",23526
01-Oct-2025,EQ,"158.00","159.80","156.43","158.03","158.50","158.62","158.48","221.90","122.50",1037789,"16,44,64,358.76",13634
30-Sep-2025,EQ,"157.59","160.45","156.90","157.22","158.00","158.03","158.40","221.90","122.50",1187449,"18,80,88,287.05",22160
29-Sep-2025,EQ,"158.89","161.80","155.21","156.26","157.59","157.22","157.99","221.90","122.50",4284137,"67,68,70,406.96",39923
26-Sep-2025,EQ,"156.11","158.08","153.96","156.24","156.11","156.26","156.57","227.14","122.50",1659515,"25,98,33,012.48",23225
25-Sep-2025,EQ,"156.00","157.88","153.63","153.21","156.40","156.24","155.63","227.14","122.50",3033570,"47,21,22,890.66",35456
24-Sep-2025,EQ,"155.60","156.31","152.85","155.48","153.00","153.21","154.03","227.14","122.50",569027,"8,76,47,613.59",11170
23-Sep-2025,EQ,"157.40","157.96","154.75","157.97","155.60","155.48","155.63","227.14","122.50",818785,"12,74,27,549.49",13982
22-Sep-2025,EQ,"161.99","161.99","156.11","157.05","157.80","157.97","157.91","227.14","122.50",1342683,"21,20,24,186.89",17452
19-Sep-2025,EQ,"159.00","159.15","156.27","159.47","156.90","157.05","157.34","229.69","122.50",916499,"14,42,05,082.59",12637
18-Sep-2025,EQ,"162.00","162.15","157.10","162.26","159.00","159.47","158.75","229.69","122.50",1658820,"26,33,30,831.72",21322
17-Sep-2025,EQ,"161.43","163.00","161.00","161.41","162.01","162.26","162.01","229.69","122.50",618859,"10,02,62,042.64",10033
16-Sep-2025,EQ,"161.80","162.98","160.00","164.09","161.43","161.41","161.54","229.69","122.50",1484221,"23,97,60,566.94",25276
15-Sep-2025,EQ,"162.97","165.62","162.70","161.28","164.40","164.09","163.95","229.69","122.50",2800282,"45,91,15,095.63",31544
12-Sep-2025,EQ,"151.80","163.44","151.80","151.79","162.10","161.28","161.39","235.60","122.50",12229932,"1,97,38,06,057.12",114299
11-Sep-2025,EQ,"151.50","153.45","151.50","151.48","151.92","151.79","152.26","235.60","122.50",634583,"9,66,20,746.72",12688
10-Sep-2025,EQ,"150.89","152.61","150.51","150.62","151.70","151.48","151.65","235.60","122.50",618040,"9,37,27,768.34",11754
09-Sep-2025,EQ,"150.15","150.99","148.99","150.31","150.90","150.62","150.08","235.60","122.50",550021,"8,25,47,176.66",10585
08-Sep-2025,EQ,"151.65","151.65","150.00","150.95","150.40","150.31","150.64","235.60","122.50",498564,"7,51,04,909.72",14787
05-Sep-2025,EQ,"151.00","152.25","150.00","150.56","150.90","150.95","150.90","236.90","122.50",499572,"7,53,85,171.41",10168
04-Sep-2025,EQ,"154.90","155.99","150.13","154.75","150.75","150.56","151.90","236.90","122.50",1013106,"15,38,88,573.20",25665
03-Sep-2025,EQ,"152.10","155.90","152.10","152.34","154.76","154.75","154.58","236.90","122.50",766319,"11,84,57,644.13",14703
02-Sep-2025,EQ,"152.38","154.25","150.45","152.39","152.14","152.34","153.32","236.90","122.50",1351183,"20,71,63,243.48",15036
01-Sep-2025,EQ,"149.10","154.50","148.49","149.11","151.55","152.39","151.50","236.90","122.50",802721,"12,16,13,218.57",16269
29-Aug-2025,EQ,"150.99","151.59","148.54","150.99","149.24","149.11","149.59","238.90","122.50",800319,"11,97,20,349.56",14041
28-Aug-2025,EQ,"151.91","152.50","147.35","156.22","151.60","150.99","149.79","238.90","122.50",1927534,"28,87,17,350.88",25259
26-Aug-2025,EQ,"157.90","159.50","155.63","156.91","156.00","156.22","157.85","238.90","122.50",2261976,"35,70,51,917.65",26695
25-Aug-2025,EQ,"156.52","157.95","155.20","156.06","157.18","156.91","156.78","238.90","122.50",779521,"12,22,16,175.72",10730
22-Aug-2025,EQ,"157.75","158.30","155.70","156.77","155.80","156.06","156.31","238.90","122.50",667926,"10,44,05,431.79",9537
21-Aug-2025,EQ,"156.10","157.95","155.94","155.94","156.84","156.77","156.99","238.90","122.50",971708,"15,25,45,444.45",12123
20-Aug-2025,EQ,"154.65","156.95","154.41","154.37","156.00","155.94","155.86","238.90","122.50",829353,"12,92,59,835.70",8898
19-Aug-2025,EQ,"154.04","154.88","153.14","153.66","154.65","154.37","154.03","238.90","122.50",1006234,"15,49,85,403.08",28473
18-Aug-2025,EQ,"156.80","156.80","152.81","153.83","153.70","153.66","153.98","238.90","122.50",885357,"13,63,28,475.15",13911
14-Aug-2025,EQ,"154.10","156.89","153.43","157.42","153.62","153.83","154.35","250.69","122.50",970243,"14,97,58,120.86",15258
13-Aug-2025,EQ,"157.60","160.40","155.45","156.70","156.85","157.42","157.78","250.69","122.50",1117403,"17,63,01,849.54",15758
12-Aug-2025,EQ,"155.65","159.00","155.10","155.44","156.38","156.70","157.02","250.69","122.50",623850,"9,79,55,491.62",14736
11-Aug-2025,EQ,"157.25","157.59","153.61","157.48","155.39","155.44","155.68","250.69","122.50",599422,"9,33,16,043.35",16278
08-Aug-2025,EQ,"152.77","158.80","152.50","152.70","157.00","157.48","157.50","250.69","122.50",1864627,"29,36,87,465.91",24378
07-Aug-2025,EQ,"154.65","156.55","150.36","154.85","153.95","152.70","153.12","250.69","122.50",1229726,"18,82,93,969.89",18084
06-Aug-2025,EQ,"159.10","160.80","153.83","158.57","154.50","154.85","156.19","250.69","122.50",1389915,"21,70,93,056.82",16764
05-Aug-2025,EQ,"159.20","160.55","157.90","158.66","158.52","158.57","158.68","250.69","122.50",371640,"5,89,72,131.56",7304
04-Aug-2025,EQ,"159.74","160.00","158.00","159.74","158.75","158.66","158.82","250.69","122.50",423325,"6,72,32,053.91",8851
01-Aug-2025,EQ,"158.23","163.50","158.10","158.23","159.35","159.74","161.64","250.69","122.50",1731678,"27,99,00,539.70",24821
31-Jul-2025,EQ,"157.90","160.20","157.00","158.72","158.01","158.23","158.85","250.69","122.50",547600,"8,69,87,900.54",8663
30-Jul-2025,EQ,"159.65","162.11","158.16","159.66","159.00","158.72","159.67","250.69","122.50",595711,"9,51,17,230.85",17146
29-Jul-2025,EQ,"156.00","160.08","154.30","156.48","160.01","159.66","157.83","250.69","122.50",1686365,"26,61,65,095.69",18335
28-Jul-2025,EQ,"160.75","161.91","156.05","160.58","156.20","156.48","158.59","250.69","122.50",967634,"15,34,60,889.55",20836
25-Jul-2025,EQ,"166.25","166.70","159.11","165.83","161.30","160.58","161.89","250.69","122.50",2696048,"43,64,68,700.08",31660
24-Jul-2025,EQ,"161.60","168.20","161.60","161.31","165.25","165.83","166.28","250.69","122.50",4666987,"77,60,22,066.26",46767
23-Jul-2025,EQ,"161.80","163.51","160.63","161.64","161.10","161.31","161.55","250.69","122.50",730085,"11,79,48,771.60",11191
22-Jul-2025,EQ,"165.00","167.50","161.48","164.38","161.61","161.64","163.77","250.69","122.50",1756528,"28,76,68,139.65",20478
21-Jul-2025,EQ,"163.80","165.40","162.98","163.10","164.25","164.38","164.14","250.69","122.50",1695494,"27,83,05,976.26",34598
18-Jul-2025,EQ,"159.50","164.50","159.10","159.62","163.14","163.10","161.96","250.69","122.50",2910919,"47,14,58,381.03",32084
17-Jul-2025,EQ,"160.30","161.90","159.06","159.80","159.40","159.62","160.44","250.69","122.50",607362,"9,74,44,532.65",10090
16-Jul-2025,EQ,"159.40","162.30","158.77","159.27","159.99","159.80","160.12","250.69","122.50",1014573,"16,24,52,338.47",14996
15-Jul-2025,EQ,"158.89","161.55","158.88","158.63","159.50","159.27","159.80","250.69","122.50",1526801,"24,39,86,617.22",22710
14-Jul-2025,EQ,"158.69","159.70","157.05","158.27","158.72","158.63","158.60","250.69","122.50",629463,"9,98,35,220.67",10101
11-Jul-2025,EQ,"156.00","160.40","156.00","156.24","158.19","158.27","158.46","250.69","122.50",1674006,"26,52,59,555.78",21785
10-Jul-2025,EQ,"155.96","158.84","155.60","155.96","156.65","156.24","156.74","250.69","122.50",623140,"9,76,70,661.44",11384
09-Jul-2025,EQ,"155.40","157.00","155.35","155.31","156.18","155.96","156.16","250.69","122.50",1056761,"16,50,23,490.21",15970
08-Jul-2025,EQ,"157.30","158.13","154.81","157.36","155.27","155.31","155.83","250.69","122.50",990499,"15,43,48,552.61",16607
07-Jul-2025,EQ,"156.60","158.25","156.13","157.07","157.20","157.36","157.10","250.69","122.50",684771,"10,75,78,480.73",13424
04-Jul-2025,EQ,"158.41","159.00","156.00","158.41","157.10","157.07","157.19","250.69","122.50",821919,"12,91,98,236.78",20262
03-Jul-2025,EQ,"159.10","160.71","157.15","158.40","158.20","158.41","158.72","250.69","122.50",1290573,"20,48,39,648.64",24615
02-Jul-2025,EQ,"161.15","161.48","157.80","160.65","158.70","158.40","158.94","250.69","122.50",925828,"14,71,54,219.04",13688
01-Jul-2025,EQ,"162.00","163.73","159.31","161.52","160.59","160.65","161.04","250.69","122.50",1244932,"20,04,80,366.95",16285
30-Jun-2025,EQ,"163.50","163.80","160.52","162.95","161.70","161.52","161.84","250.69","122.50",892885,"14,45,06,483.79",16537
27-Jun-2025,EQ,"162.40","165.14","161.40","161.71","162.91","162.95","163.74","250.69","122.50",1968498,"32,23,17,575.45",24642
26-Jun-2025,EQ,"162.49","163.95","160.00","162.04","162.00","161.71","161.56","250.69","122.50",779601,"12,59,48,844.29",20846
25-Jun-2025,EQ,"159.50","163.90","159.50","158.99","162.00","162.04","162.35","250.69","122.50",1429129,"23,20,14,814.96",18080
24-Jun-2025,EQ,"162.05","162.68","158.58","161.13","159.09","158.99","160.06","250.69","122.50",1200677,"19,21,85,676.02",17031
23-Jun-2025,EQ,"154.00","163.69","153.42","155.07","160.99","161.13","160.28","250.69","122.50",7762476,"1,24,41,31,378.84",73084
20-Jun-2025,EQ,"156.66","158.85","154.40","156.61","155.15","155.07","156.28","250.69","122.50",1502812,"23,48,60,613.60",24540
19-Jun-2025,EQ,"158.90","160.92","155.75","159.11","156.66","156.61","157.52","250.69","122.50",1120509,"17,64,97,152.70",12335
18-Jun-2025,EQ,"159.79","160.75","158.35","159.06","159.00","159.11","159.14","250.69","122.50",663609,"10,56,09,166.08",8075
